TS|CH0|CH1|CH2
10|3.897|0.000|-1.685
20|3.897|0.000|-1.612
30|3.885|0.000|-1.597
40|3.877|0.000|-1.529
50|3.888|0.000|-1.426
60|3.906|0.000|-1.417
70|3.902|0.000|-1.343
80|3.907|0.000|-1.295
90|3.917|0.000|-1.236
100|3.867|0.000|-1.124
110|3.890|0.000|-1.158
120|3.888|0.000|-1.085
130|3.883|0.000|-1.001
140|3.897|0.000|-1.031
150|3.897|0.000|-1.050
160|3.886|0.000|-0.928
170|3.877|0.000|-0.879
180|3.884|0.000|-0.796
190|3.885|0.000|-0.796
200|3.902|0.000|-0.747
210|3.886|0.000|-0.669
220|3.847|0.000|-0.616
230|3.906|0.000|-0.591
240|3.872|0.000|-0.620
250|3.847|0.000|-0.503
260|3.867|0.000|-0.420
270|3.888|0.000|-0.396
280|3.868|0.000|-0.303
290|3.905|0.000|-0.278
300|3.893|0.000|-0.249
310|3.867|0.000|-0.147
320|3.897|0.000|-0.107
330|3.907|0.000|-0.093
340|3.899|0.000|0.000
350|3.877|0.000|0.005
360|3.877|0.000|0.083
370|3.886|0.000|0.195
380|3.867|0.000|0.195
390|3.917|0.000|0.234
400|3.875|0.000|0.269
410|3.888|0.000|0.386
420|3.905|0.000|0.347
430|3.867|0.000|0.469
440|3.886|0.000|0.425
450|3.897|0.000|0.532
460|3.871|0.000|0.616
470|3.896|0.000|0.684
480|3.877|0.000|0.660
490|3.906|0.000|0.718
500|3.867|0.000|0.806
510|3.883|0.000|0.860
520|3.886|0.000|0.874
530|3.893|0.000|0.953
540|3.906|0.000|1.016
550|3.882|0.000|1.089
560|3.889|0.000|1.094
570|3.885|0.000|1.168
580|3.902|0.000|1.187
590|3.877|0.000|1.255
600|3.877|0.000|1.368
610|3.917|0.000|1.456
620|3.893|0.000|1.402
630|3.905|0.000|1.412
640|3.888|0.000|1.539
650|3.886|0.000|1.681
660|3.897|0.000|1.637
670|3.867|0.000|1.720
680|3.883|0.000|1.788
690|3.895|0.000|1.861
700|3.862|0.000|-3.879
710|3.905|0.000|-3.864
720|3.886|0.000|-3.806
730|3.905|0.000|-3.708
740|3.879|0.000|-3.766
750|3.874|0.000|-3.649
760|3.886|0.000|-3.571
770|3.872|0.000|-3.459
780|3.897|0.000|-3.454
790|3.888|0.000|-3.395
800|3.877|0.000|-3.312
810|3.907|0.000|-3.273
820|3.886|0.000|-3.205
830|3.889|0.000|-3.180
840|3.882|0.000|-3.117
850|3.888|0.000|-3.029
860|3.906|0.000|-3.019
870|3.886|0.000|-3.004
880|3.867|0.000|-2.931
890|3.886|0.000|-2.902
900|3.867|0.000|-2.770
910|3.888|0.000|-2.706
920|3.867|0.000|-2.667
930|3.867|0.000|-2.692
940|3.862|0.000|-2.584
950|3.888|0.000|-2.594
960|3.907|0.000|-2.531
970|3.888|0.000|-2.423
980|3.874|0.000|-2.477
990|3.902|0.000|-2.335
1000|3.886|0.000|-2.364
1010|3.882|0.000|-2.277
1020|3.882|0.000|-2.252
1030|3.907|0.000|-2.203
1040|3.857|0.000|-2.145
1050|3.884|0.000|-2.106
1060|3.877|0.000|-2.057
1070|3.893|0.000|-2.062
1080|3.894|0.000|-1.949
1090|3.867|0.000|-1.866
1100|3.885|0.000|-1.832
1110|3.906|0.000|-1.715
1120|3.867|0.000|-1.715
1130|3.886|0.000|-1.637
1140|3.906|0.000|-1.573
1150|3.888|0.000|-1.500
1160|3.883|0.000|-1.475
1170|3.899|0.000|-1.480
1180|3.889|0.000|-1.319
1190|3.886|0.000|-1.334
1200|3.888|0.000|-1.221
1210|3.878|0.000|-1.241
1220|3.913|0.000|-1.226
1230|3.864|0.000|-1.148
1240|3.867|0.000|-1.031
1250|3.907|0.000|-0.992
1260|3.904|0.000|-1.006
1270|3.906|0.000|-1.045
1280|3.888|0.000|-0.982
1290|3.886|0.000|-0.884
1300|3.867|0.000|-0.787
1310|3.897|0.000|-0.806
1320|3.860|0.000|-0.738
1330|3.872|0.000|-0.699
1340|3.893|0.000|-0.699
1350|3.902|0.000|-0.542
1360|3.882|0.000|-0.513
1370|3.896|0.000|-0.484
1380|3.897|0.000|-0.391
1390|3.888|0.000|-0.313
1400|3.906|0.000|-0.308
1410|3.867|0.000|-0.308
1420|3.888|0.000|-0.200
1430|3.885|0.000|-0.210
1440|3.888|0.000|-0.073
1450|3.905|0.000|-0.068
1460|3.886|0.000|0.000
1470|3.905|0.000|0.034
1480|3.906|0.000|0.073
1490|3.891|0.000|0.142
1500|3.874|0.000|0.176
1510|3.877|0.000|0.254
1520|3.893|0.000|0.151
1530|3.867|0.000|0.347
1540|3.872|0.000|0.391
1550|3.877|0.000|0.274
1560|3.877|0.000|0.518
1570|3.888|0.000|0.532
1580|3.886|0.000|0.567
1590|3.867|0.000|0.684
1600|3.886|0.000|0.655
1610|3.877|0.000|0.640
1620|3.885|0.000|0.767
1630|3.890|0.000|0.860
1640|3.867|0.000|0.874
1650|3.877|0.000|1.016
1660|3.879|0.000|0.997
1670|3.922|0.000|1.085
1680|3.897|0.000|1.070
1690|3.906|0.000|1.148
1700|3.907|0.000|1.231
1710|3.907|0.000|1.270
1720|3.888|0.000|1.358
1730|3.984|0.000|1.363
1740|3.883|0.000|1.446
1750|3.877|0.000|1.461
1760|3.935|0.000|1.563
1770|3.879|0.000|1.607
1780|3.905|0.000|1.637
1790|3.946|0.000|1.720
1800|3.886|0.000|1.817
